trade_date,size_bucket,factor,total,non_missing,coverage
2022-08-23,0,vol_20,12,12,1.0
2022-08-23,1,vol_20,12,12,1.0
2022-08-23,2,vol_20,12,12,1.0
2022-08-23,3,vol_20,12,12,1.0
2022-08-23,4,vol_20,12,12,1.0
2022-08-24,0,vol_20,12,12,1.0
2022-08-24,1,vol_20,12,12,1.0
2022-08-24,2,vol_20,12,12,1.0
2022-08-24,3,vol_20,12,12,1.0
2022-08-24,4,vol_20,12,12,1.0
2022-08-25,0,vol_20,12,12,1.0
2022-08-25,1,vol_20,12,12,1.0
2022-08-25,2,vol_20,12,12,1.0
2022-08-25,3,vol_20,12,12,1.0
2022-08-25,4,vol_20,12,12,1.0
2022-08-26,0,vol_20,12,12,1.0
2022-08-26,1,vol_20,12,12,1.0
2022-08-26,2,vol_20,12,12,1.0
2022-08-26,3,vol_20,12,12,1.0
2022-08-26,4,vol_20,12,12,1.0
2022-08-29,0,vol_20,12,12,1.0
2022-08-29,1,vol_20,12,12,1.0
2022-08-29,2,vol_20,12,12,1.0
2022-08-29,3,vol_20,12,12,1.0
2022-08-29,4,vol_20,12,12,1.0
2022-08-30,0,vol_20,12,12,1.0
2022-08-30,1,vol_20,12,12,1.0
2022-08-30,2,vol_20,12,12,1.0
2022-08-30,3,vol_20,12,12,1.0
2022-08-30,4,vol_20,12,12,1.0
2022-08-31,0,vol_20,12,12,1.0
2022-08-31,1,vol_20,12,12,1.0
2022-08-31,2,vol_20,12,12,1.0
2022-08-31,3,vol_20,12,12,1.0
2022-08-31,4,vol_20,12,12,1.0
2022-09-01,0,vol_20,12,12,1.0
2022-09-01,1,vol_20,12,12,1.0
2022-09-01,2,vol_20,12,12,1.0
2022-09-01,3,vol_20,12,12,1.0
2022-09-01,4,vol_20,12,12,1.0
2022-09-02,0,vol_20,12,12,1.0
2022-09-02,1,vol_20,12,12,1.0
2022-09-02,2,vol_20,12,12,1.0
2022-09-02,3,vol_20,12,12,1.0
2022-09-02,4,vol_20,12,12,1.0
2022-09-05,0,vol_20,12,12,1.0
2022-09-05,1,vol_20,12,12,1.0
2022-09-05,2,vol_20,12,12,1.0
2022-09-05,3,vol_20,12,12,1.0
2022-09-05,4,vol_20,12,12,1.0
2022-09-06,0,vol_20,12,12,1.0
2022-09-06,1,vol_20,12,12,1.0
2022-09-06,2,vol_20,12,12,1.0
2022-09-06,3,vol_20,12,12,1.0
2022-09-06,4,vol_20,12,12,1.0
2022-09-07,0,vol_20,12,12,1.0
2022-09-07,1,vol_20,12,12,1.0
2022-09-07,2,vol_20,12,12,1.0
2022-09-07,3,vol_20,12,12,1.0
2022-09-07,4,vol_20,12,12,1.0
2022-09-08,0,vol_20,12,12,1.0
2022-09-08,1,vol_20,12,12,1.0
2022-09-08,2,vol_20,12,12,1.0
2022-09-08,3,vol_20,12,12,1.0
2022-09-08,4,vol_20,12,12,1.0
2022-09-09,0,vol_20,12,12,1.0
2022-09-09,1,vol_20,12,12,1.0
2022-09-09,2,vol_20,12,12,1.0
2022-09-09,3,vol_20,12,12,1.0
2022-09-09,4,vol_20,12,12,1.0
2022-06-20,0,vol_60,12,0,0.0
2022-06-20,1,vol_60,12,0,0.0
2022-06-20,2,vol_60,12,0,0.0
2022-06-20,3,vol_60,12,0,0.0
2022-06-20,4,vol_60,12,0,0.0
2022-06-21,0,vol_60,12,0,0.0
2022-06-21,1,vol_60,12,0,0.0
2022-06-21,2,vol_60,12,0,0.0
2022-06-21,3,vol_60,12,0,0.0
2022-06-21,4,vol_60,12,0,0.0
2022-06-22,0,vol_60,12,0,0.0
2022-06-22,1,vol_60,12,0,0.0
2022-06-22,2,vol_60,12,0,0.0
2022-06-22,3,vol_60,12,0,0.0
2022-06-22,4,vol_60,12,0,0.0
2022-06-23,0,vol_60,12,0,0.0
2022-06-23,1,vol_60,12,0,0.0
2022-06-23,2,vol_60,12,0,0.0
2022-06-23,3,vol_60,12,0,0.0
2022-06-23,4,vol_60,12,0,0.0
2022-06-24,0,vol_60,12,0,0.0
2022-06-24,1,vol_60,12,0,0.0
2022-06-24,2,vol_60,12,0,0.0
2022-06-24,3,vol_60,12,0,0.0
2022-06-24,4,vol_60,12,0,0.0
2022-06-27,0,vol_60,12,0,0.0
2022-06-27,1,vol_60,12,0,0.0
2022-06-27,2,vol_60,12,0,0.0
2022-06-27,3,vol_60,12,0,0.0
2022-06-27,4,vol_60,12,0,0.0
2022-06-28,0,vol_60,12,0,0.0
2022-06-28,1,vol_60,12,0,0.0
2022-06-28,2,vol_60,12,0,0.0
2022-06-28,3,vol_60,12,0,0.0
2022-06-28,4,vol_60,12,0,0.0
2022-06-29,0,vol_60,12,0,0.0
2022-06-29,1,vol_60,12,0,0.0
2022-06-29,2,vol_60,12,0,0.0
2022-06-29,3,vol_60,12,0,0.0
2022-06-29,4,vol_60,12,0,0.0
2022-06-30,0,vol_60,12,0,0.0
2022-06-30,1,vol_60,12,0,0.0
2022-06-30,2,vol_60,12,0,0.0
2022-06-30,3,vol_60,12,0,0.0
2022-06-30,4,vol_60,12,0,0.0
2022-07-01,0,vol_60,12,0,0.0
2022-07-01,1,vol_60,12,0,0.0
2022-07-01,2,vol_60,12,0,0.0
2022-07-01,3,vol_60,12,0,0.0
2022-07-01,4,vol_60,12,0,0.0
2022-07-04,0,vol_60,12,0,0.0
2022-07-04,1,vol_60,12,0,0.0
